Company	Location	Date	Level Name	Tag	Years of Experience	Total / At Company	Negotiated	Total Compensation (USD)	Base	Stock (yr)	Bonus
	Santa Clara, CA 	 08/10/2022	Grade 7	ML / AI	1 yr 	1 yr	0	$300,000	207K 	 68K 	 25K
	Seattle, WA 	 08/10/2022	Grade 5	ML / AI	0 yrs 	0 yrs	0	$156,625	130K 	 20K 	 6.6K
	Santa Clara, CA 	 07/01/2022	Grade 5	ML / AI	0 yrs 	0 yrs	0	$202,333	154K 	 33.3K 	 15K
	Hillsboro, OR 	 07/01/2022	Grade 7	ML / AI	0 yrs 	0 yrs	0	$227,008	177K 	 23.3K 	 26.7K
	Chandler, AZ 	 03/01/2022	Grade 5	ML / AI	0 yrs 	0 yrs	0	$194,167	125K 	 6.7K 	 62.5K
	Hillsboro, OR 	 02/10/2022	Grade 5	ML / AI	0 yrs 	0 yrs	0	$156,000	126K 	 19K 	 11K
	San Jose, CA 	 02/01/2022	Grade 5	ML / AI	0 yrs 	0 yrs	0	$149,837	109K 	 26.7K 	 14.2K
	Austin, TX 	 12/11/2021	Grade 5	ML / AI	1 yr 	1 yr	0	$157,000	117K 	 20K 	 20K
	Santa Clara, CA 	 12/01/2021	Grade 7	ML / AI	0 yrs 	0 yrs	0	$236,000	166K 	 50K 	 20K
	Santa Clara, CA 	 11/09/2021	Grade 5	ML / AI	1 yr 	0 yrs	0	$220,000	136K 	 33K 	 51K
USC	Los Angeles, CA 	 12/14/2022	L1	ML / AI	0 yrs 	0 yrs	0	$62,400	62.4K 	 N/A 	 N/A
NavDri	Los Angeles, CA 	 12/14/2022	L3	ML / AI	1 yr 	0 yrs	0	$160,000	160K 	 N/A 	 N/A
ByteDance	Seattle, WA 	 12/14/2022	2-1	ML / AI	1 yr 	0 yrs	0	$315,538	200K 	 59.3K 	 56.3K
	Mountain View, CA 	 12/01/2022	2-1	ML / AI	0 yrs 	0 yrs	0	$306,250	210K 	 40K 	 56.3K
	Mountain View, CA 	 11/29/2022	-	ML / AI	1 yr 	0 yrs	0	$185,000	130K 	 40K 	 15K
	San Francisco, CA 	 11/15/2022	2-1	ML / AI	0 yrs 	0 yrs	0	$293,750	178K 	 67.5K 	 48.3K
	Mountain View, CA 	 11/09/2022	1-2	ML / AI	0 yrs 	0 yrs	0	$226,250	140K 	 38.8K 	 47.5K
	Los Angeles, CA 	 10/06/2022	2-1	ML / AI	0 yrs 	0 yrs	0	$450,000	250K 	 200K 	 N/A
	Mountain View, CA 	 09/14/2022	1-2	ML / AI	1 yr 	0 yrs	0	$181,250	125K 	 25K 	 31.3K
	Mountain View, CA 	 09/14/2022	1-2	ML / AI	2 yrs 	1 yr	0	$233,350	140K 	 58.4K 	 35K
	San Francisco, CA 	 08/27/2022	1-2	ML / AI	1 yr 	1 yr	0	$180,000	130K 	 20K 	 30K
	Mountain View, CA 	 06/12/2022	1-2	ML / AI	1 yr 	1 yr	0	$181,200	125K 	 25K 	 31.2K
	San Francisco, CA 	 06/04/2022	1-2	ML / AI	0 yrs 	0 yrs	0	$212,500	128K 	 40K 	 44.5K
	San Francisco, CA 	 03/17/2022	2-1	ML / AI	1 yr 	1 yr	0	$515,000	185K 	 330K 	 N/A
	Mountain View, CA 	 02/11/2022	2	ML / AI	2 yrs 	2 yrs	0	$329,000	220K 	 54K 	 55K
	Mountain View, CA 	 01/31/2022	2-1	ML / AI	0 yrs 	0 yrs	0	$337,500	200K 	 70K 	 67.5K
	Mountain View, CA 	 01/31/2022	1-2	ML / AI	2 yrs 	0 yrs	0	$238,750	138K 	 41.3K 	 59.5K
	Mountain View, CA 	 01/13/2022	2	ML / AI	0 yrs 	0 yrs	0	$307,000	210K 	 44K 	 53K
	Mountain View, CA 	 01/07/2022	2	ML / AI	0 yrs 	0 yrs	0	$313,000	210K 	 50K 	 53K
	Mountain View, CA 	 01/05/2022	1	ML / AI	2 yrs 	0 yrs	0	$200,000	140K 	 25K 	 35K
	Mountain View, CA 	 12/13/2021	2-1	ML / AI	0 yrs 	0 yrs	0	$325,000	200K 	 75K 	 50K
Radix Trading	Chicago, IL 	 12/13/2022	L3	ML / AI	0 yrs 	0 yrs	0	$600,000	150K 	 N/A 	 450K
	Chicago, IL 	 11/29/2022	New Grad PhD	ML / AI	0 yrs 	0 yrs	0	$600,000	250K 	 N/A 	 350K
Comcast	Denver, CO 	 12/13/2022	L2	ML / AI	2 yrs 	2 yrs	0	$131,500	130K 	 1.5K 	 N/A
	Washington, DC 	 11/23/2021	Engineer 3	ML / AI	2 yrs 	1 yr	0	$200,000	165K 	 20K 	 15K
Lawrence Berkeley...	Berkeley, CA 	 12/12/2022	Entry	ML / AI	2 yrs 	2 yrs	0	$41,600	41.6K 	 N/A 	 N/A
Sortera Alloys	Dallas, TX 	 12/12/2022	L2	ML / AI	2 yrs 	2 yrs	0	$100,000	90K 	 10K 	 N/A
Spotify	Boston, MA 	 12/09/2022	Engineer I	ML / AI	1 yr 	1 yr	0	$181,225	153.6K 	 27.6K 	 N/A
	New York, NY 	 09/16/2022	Engineer II	ML / AI	0 yrs 	0 yrs	0	$227,500	180K 	 47.5K 	 N/A
	New York, NY 	 03/03/2022	Senior Engineer	ML / AI	2 yrs 	0 yrs	0	$249,000	200K 	 49K 	 N/A
Elbit Systems	Orlando, FL 	 12/08/2022	1	ML / AI	1 yr 	1 yr	0	$75,000	75K 	 N/A 	 N/A
	Orlando, FL 	 11/10/2022	1	ML / AI	2 yrs 	1 yr	0	$75,000	75K 	 N/A 	 N/A
	Orlando, FL 	 11/03/2022	L1	ML / AI	1 yr 	1 yr	0	$75,000	75K 	 N/A 	 N/A
C3.ai	New York, NY 	 12/07/2022	L1	ML / AI	0 yrs 	0 yrs	0	$176,900	126K 	 32K 	 18.9K
PlayStation	San Francisco, CA 	 12/07/2022	P3	ML / AI	2 yrs 	0 yrs	0	$227,250	170K 	 N/A 	 57.3K
Neocova	New York, NY 	 12/07/2022	Senior	ML / AI	2 yrs 	2 yrs	0	$140,000	140K 	 N/A 	 N/A
Siemens	Princeton, NJ 	 12/06/2022	T7	ML / AI	1 yr 	1 yr	0	$84,560	66.6K 	 N/A 	 18K
	Berkeley, CA 	 12/30/2021	L2	ML / AI	2 yrs 	1 yr	0	$150,000	131K 	 N/A 	 19K
Shure	Niles, IL 	 12/04/2022	L3	ML / AI	2 yrs 	2 yrs	0	$104,000	104K 	 N/A 	 N/A
SambaNova Systems	Palo Alto, CA 	 12/04/2022	L3	ML / AI	0 yrs 	0 yrs	0	$170,000	130K 	 40K 	 N/A
	Palo Alto, CA 	 12/15/2021	L4	ML / AI	2 yrs 	2 yrs	0	$140,000	140K 	 N/A 	 N/A
ABC	New York, NY 	 12/03/2022	L3	ML / AI	0 yrs 	0 yrs	0	$105,000	100K 	 5K 	 N/A
Samsung	San Diego, CA 	 12/03/2022	L4	ML / AI	0 yrs 	0 yrs	0	$187,750	160K 	 N/A 	 27.8K
OpenAI	San Francisco, CA 	 11/30/2022	L4	ML / AI	2 yrs 	0 yrs	0	$620,000	245K 	 375K 	 N/A
Twitter	New York, NY 	 11/30/2022	SWE II	ML / AI	2 yrs 	2 yrs	0	$455,500	162K 	 275K 	 18.5K
	Los Angeles, CA 	 09/10/2022	SWE II	ML / AI	1 yr 	0 yrs	0	$112,500	100K 	 12.5K 	 N/A
	San Francisco, CA 	 08/16/2022	Software Engineer (SWE)	ML / AI	2 yrs 	1 yr	0	$173,000	153K 	 20K 	 N/A
	San Francisco, CA 	 05/01/2022	Software Engineer (SWE)	ML / AI	0 yrs 	0 yrs	0	$187,500	150K 	 37.5K 	 N/A
	New York, NY 	 12/28/2021	SWE II	ML / AI	2 yrs 	0 yrs	0	$255,000	166K 	 72K 	 17K
Primer	San Francisco, CA 	 11/28/2022	L3	ML / AI	0 yrs 	0 yrs	0	$200,000	150K 	 50K 	 N/A
WPS Health Solutions	Austin, TX 	 11/21/2022	2	ML / AI	2 yrs 	1 yr	0	$115,000	115K 	 N/A 	 N/A
DRAIVER	New York, NY 	 11/21/2022	L2	ML / AI	1 yr 	1 yr	0	$110,000	110K 	 N/A 	 N/A
	New York, NY 	 05/10/2022	L3	ML / AI	1 yr 	0 yrs	0	$110,000	110K 	 0.3 	 N/A
Verizon	Ashburn, VA 	 11/16/2022	MTS 1	ML / AI	0 yrs 	0 yrs	0	$104,750	104K 	 750 	 N/A
WeRide.ai	San Jose, CA 	 11/16/2022	L3	ML / AI	0 yrs 	0 yrs	0	$172,600	135K 	 37.6K 	 N/A
	San Jose, CA 	 01/24/2022	L2	ML / AI	1 yr 	1 yr	0	$180,000	130K 	 30K 	 20K
Reynolds and Reyn...	Houston, TX 	 11/16/2022	-	ML / AI	0 yrs 	0 yrs	0	$60,000	60K 	 N/A 	 N/A
Bloomberg	New York, NY 	 11/15/2022	Software Engineer	ML / AI	0 yrs 	0 yrs	0	$159,250	155K 	 4.3K 	 N/A
	New York, NY 	 09/13/2022	Entry	ML / AI	0 yrs 	0 yrs	0	$170,000	150K 	 N/A 	 20K
	New York, NY 	 08/31/2022	Software Engineer	ML / AI	0 yrs 	0 yrs	0	$177,500	155K 	 N/A 	 22.5K
	New York, NY 	 08/19/2022	Software Engineer	ML / AI	1 yr 	0 yrs	+$15K	$191,250	160K 	 N/A 	 31.3K
	New York, NY 	 04/01/2022	Senior Software Engineer	ML / AI	0 yrs 	0 yrs	0	$328,750	255K 	 N/A 	 73.8K
	New York, NY 	 03/31/2022	Software Engineer	ML / AI	0 yrs 	0 yrs	0	$180,000	153K 	 N/A 	 27K
	New York, NY 	 02/16/2022	Senior Software Engineer	ML / AI	2 yrs 	2 yrs	0	$233,000	193K 	 N/A 	 40K
	New York, NY 	 02/15/2022	Senior Software Engineer	ML / AI	2 yrs 	2 yrs	0	$184,000	162K 	 N/A 	 22K
	New York, NY 	 02/04/2022	Software Engineer	ML / AI	0 yrs 	0 yrs	0	$165,000	145K 	 N/A 	 20K
	New York, NY 	 12/14/2021	Senior Software Engineer	ML / AI	2 yrs 	1 yr	0	$300,000	240K 	 N/A 	 60K
	New York, NY 	 12/14/2021	Senior Software Engineer	ML / AI	2 yrs 	0 yrs	0	$315,000	250K 	 N/A 	 65K
DiDi	Mountain View, CA 	 11/14/2022	D5	ML / AI	1 yr 	1 yr	0	$190,000	130K 	 40K 	 20K
	Mountain View, CA 	 08/08/2022	hidden	ML / AI	0-1 yrs 	0-1 yrs	0	$190,000	130K 	 40K 	 20K
	Mountain View, CA 	 07/01/2022	D6	ML / AI	0-1 yrs 	0-1 yrs	0	$267,500	185K 	 47.5K 	 35K
	Mountain View, CA 	 01/01/2022	D5	ML / AI	0 yrs 	0 yrs	0	$195,000	130K 	 40K 	 25K
Qualcomm	San Diego, CA 	 11/14/2022	Engineer	ML / AI	2 yrs 	0 yrs	0	$216,587	158.1K 	 33.3K 	 25.1K
	San Diego, CA 	 06/11/2022	Engineer	ML / AI	0 yrs 	0 yrs	+$10K	$158,000	110K 	 25K 	 23K
	San Diego, CA 	 05/08/2022	Senior Engineer	ML / AI	2 yrs 	2 yrs	0	$241,000	176K 	 40K 	 25K
	San Diego, CA 	 05/01/2022	Engineer	ML / AI	2 yrs 	0 yrs	+$20K	$224,333	160K 	 38.3K 	 26K
	San Diego, CA 	 04/12/2022	Engineer	ML / AI	1 yr 	1 yr	0	$207,000	147K 	 50K 	 10K
	Austin, TX 	 04/05/2022	Engineer	ML / AI	2 yrs 	2 yrs	0	$165,757	145.8K 	 20K 	 N/A
	San Diego, CA 	 02/28/2022	Engineer	ML / AI	0 yrs 	0 yrs	0	$150,275	103.5K 	 25K 	 21.8K
	San Diego, CA 	 02/28/2022	Senior Engineer	ML / AI	0 yrs 	0 yrs	0	$180,000	130K 	 33.3K 	 16.7K
	San Diego, CA 	 02/28/2022	Engineer	ML / AI	0 yrs 	0 yrs	0	$155,000	105K 	 25K 	 25K
	San Diego, CA 	 01/31/2022	Engineer	ML / AI	0 yrs 	0 yrs	0	$156,000	106K 	 25K 	 25K
	San Diego, CA 	 11/16/2021	Engineer	ML / AI	1 yr 	0 yrs	0	$148,000	110K 	 25K 	 13K
Caerpillar	San Francisco, CA 	 11/13/2022	-	ML / AI	1 yr 	1 yr	0	$125,000	100K 	 25K 	 N/A
Magma Capital	Chicago, IL 	 11/12/2022	L1	ML / AI	0 yrs 	0 yrs	0	$180,000	180K 	 N/A 	 N/A
Twitch	San Francisco, CA 	 11/11/2022	L4	ML / AI	1 yr 	0 yrs	0	$199,075	148.4K 	 27.1K 	 23.6K
	San Francisco, CA 	 10/31/2022	L4	ML / AI	1 yr 	0 yrs	0	$205,742	148.4K 	 32K 	 25.3K
	San Francisco, CA 	 04/12/2022	L4	ML / AI	0 yrs 	0 yrs	0	$190,000	142K 	 3K 	 45K
	San Francisco, CA 	 11/16/2021	L4	ML / AI	1 yr 	0 yrs	0	$185,000	138K 	 5K 	 42K
CACI International	West McLean, VA 	 11/11/2022	L3	ML / AI	1 yr 	0 yrs	0	$70,000	70K 	 N/A 	 N/A
Expedia	Seattle, WA 	 11/08/2022	K	ML / AI	2 yrs 	2 yrs	0	$137,000	132K 	 5K 	 N/A
	Austin, TX 	 09/01/2022	K	ML / AI	0 yrs 	0 yrs	0	$135,000	120K 	 10K 	 5K
VideoAmp	Philadelphia, PA 	 11/07/2022	Entry	ML / AI	0 yrs 	0 yrs	0	$130,000	125K 	 N/A 	 5K
FlightAware	Houston, TX 	 11/05/2022	-	ML / AI	2 yrs 	0 yrs	0	$105,000	100K 	 N/A 	 5K
TuSimple	San Diego, CA 	 11/03/2022	L3	ML / AI	1 yr 	1 yr	0	$168,000	153K 	 15K 	 N/A
LinkedIn	Sunnyvale, CA 	 11/03/2022	Software Engineer	ML / AI	1 yr 	0 yrs	0	$276,250	175K 	 70K 	 31.3K
	Sunnyvale, CA 	 10/02/2022	Software Engineer	ML / AI	0 yrs 	0 yrs	0	$262,750	140K 	 100K 	 22.8K
	Sunnyvale, CA 	 09/15/2022	Senior	ML / AI	2 yrs 	2 yrs	0	$306,000	160K 	 130K 	 16K
	Sunnyvale, CA 	 08/31/2022	Software Engineer	ML / AI	0 yrs 	0 yrs	0	$178,563	164.5K 	 14.1K 	 N/A
	San Francisco, CA 	 08/05/2022	Software Engineer	ML / AI	1 yr 	1 yr	0	$250,000	165K 	 70K 	 15K
	Sunnyvale, CA 	 07/18/2022	Software Engineer	ML / AI	2 yrs 	0 yrs	0	$256,000	160K 	 68.8K 	 27.3K
	Sunnyvale, CA 	 06/24/2022	Software Engineer	ML / AI	0 yrs 	0 yrs	0	$273,875	170K 	 75K 	 28.9K
	Sunnyvale, CA 	 06/01/2022	Software Engineer	ML / AI	2 yrs 	0 yrs	0	$250,000	155K 	 60K 	 35K
	Sunnyvale, CA 	 01/31/2022	Software Engineer	ML / AI	2 yrs 	0 yrs	0	$250,000	165K 	 68K 	 17K
	San Francisco, CA 	 01/31/2022	Software Engineer	ML / AI	1 yr 	0 yrs	0	$150,000	150K 	 N/A 	 N/A
	Sunnyvale, CA 	 01/23/2022	Senior Software Engineer	ML / AI	2 yrs 	0 yrs	0	$360,000	200K 	 130K 	 30K
	Sunnyvale, CA 	 01/22/2022	Software Engineer	ML / AI	0 yrs 	0 yrs	0	$250,000	170K 	 63K 	 17K
	Sunnyvale, CA 	 01/18/2022	Software Engineer	ML / AI	0 yrs 	0 yrs	0	$222,000	150K 	 57K 	 15K
	Sunnyvale, CA 	 11/24/2021	Software Engineer	ML / AI	1 yr 	0 yrs	+$6K	$251,000	165K 	 69K 	 17K
Rebellion Defense	Washington, DC 	 11/02/2022	L5	ML / AI	1 yr 	1 yr	0	$254,000	210K 	 44K 	 N/A
Tencent	Los Angeles, CA 	 11/01/2022	T9	ML / AI	2 yrs 	0 yrs	0	$300,000	170K 	 130K 	 N/A
	Seattle, WA 	 05/01/2022	T9	ML / AI	1 yr 	0 yrs	0	$208,917	165K 	 16.7K 	 27.3K
	Los Angeles, CA 	 02/28/2022	T8	ML / AI	2 yrs 	1 yr	0	$184,000	167K 	 15K 	 2K
	Palo Alto, CA 	 02/21/2022	T6	ML / AI	0 yrs 	0 yrs	0	$175,000	120K 	 35K 	 20K
	Palo Alto, CA 	 02/03/2022	T9	ML / AI	2 yrs 	1 yr	0	$170,000	160K 	 10K 	 N/A
Poly	Atlanta, GA 	 11/01/2022	L3	ML / AI	2 yrs 	2 yrs	0	$143,000	133K 	 N/A 	 10K
Salesforce	San Francisco, CA 	 11/01/2022	Associate MTS	ML / AI	0 yrs 	0 yrs	0	$189,288	141K 	 25K 	 23.3K
	San Francisco, CA 	 10/10/2022	MTS	ML / AI	2 yrs 	0 yrs	0	$188,500	161K 	 27.5K 	 N/A
	San Francisco, CA 	 10/01/2022	Associate MTS	ML / AI	0 yrs 	0 yrs	0	$196,625	147K 	 25K 	 24.6K
	New York, NY 	 09/06/2022	Associate MTS	ML / AI	0 yrs 	0 yrs	0	$120,000	120K 	 N/A 	 N/A
	San Francisco, CA 	 05/31/2022	L5	ML / AI	2 yrs 	2 yrs	0	$375,000	185K 	 110K 	 80K
Waymo	Mountain View, CA 	 11/01/2022	L3	ML / AI	0 yrs 	0 yrs	0	$219,250	145K 	 47.5K 	 26.8K
	San Francisco, CA 	 10/05/2022	L4	ML / AI	0 yrs 	0 yrs	0	$221,250	175K 	 13.8K 	 32.5K
	Mountain View, CA 	 07/27/2022	L4	ML / AI	0 yrs 	0 yrs	0	$301,250	175K 	 87.5K 	 38.8K
	San Francisco, CA 	 03/26/2022	L4	ML / AI	1 yr 	1 yr	0	$338,500	183K 	 125K 	 30.5K
	Mountain View, CA 	 11/20/2021	New Grad	ML / AI	0 yrs 	0 yrs	0	$230,000	145K 	 54K 	 31K
Epsilon	Denver, CO 	 11/01/2022	L3	ML / AI	1 yr 	1 yr	0	$83,000	83K 	 N/A 	 N/A
Palantir	Washington, DC 	 11/01/2022	Software Engineer	ML / AI	2 yrs 	0 yrs	0	$235,000	175K 	 55K 	 5K
Microsoft	Redmond, WA 	 10/31/2022	60	ML / AI	0 yrs 	0 yrs	0	$195,650	129K 	 37.5K 	 29.2K
	Palo Alto, CA 	 10/01/2022	60	ML / AI	2 yrs 	2 yrs	0	$190,000	140K 	 30K 	 20K
	Berkeley, CA 	 09/17/2022	SDE II	ML / AI	1 yr 	1 yr	0	$195,500	148K 	 34.5K 	 13K
	Redmond, WA 	 09/13/2022	SDE II	ML / AI	1 yr 	1 yr	0	$210,200	136.7K 	 32.5K 	 41K
	Seattle, WA 	 09/05/2022	60	ML / AI	1 yr 	1 yr	0	$169,000	133K 	 20K 	 16K
	Seattle, WA 	 09/01/2022	SDE	ML / AI	0 yrs 	0 yrs	0	$157,150	118.4K 	 30K 	 8.8K
	Mountain View, CA 	 08/22/2022	SDE	ML / AI	0 yrs 	0 yrs	0	$157,900	127.9K 	 30K 	 N/A
	Redmond, WA 	 08/19/2022	60	ML / AI	1 yr 	1 yr	0	$187,800	135K 	 34.8K 	 18K
	Redmond, WA 	 08/09/2022	SDE	ML / AI	0 yrs 	0 yrs	0	$190,830	118.4K 	 40K 	 32.4K
	Redmond, WA 	 08/04/2022	SDE	ML / AI	0 yrs 	0 yrs	0	$166,000	118.5K 	 30K 	 17.5K
	Bellevue, WA 	 07/29/2022	60	ML / AI	0 yrs 	0 yrs	0	$166,250	125K 	 37.5K 	 3.8K
	New York, NY 	 07/15/2022	SDE	ML / AI	2 yrs 	1 yr	0	$130,000	100K 	 30K 	 N/A
	New York, NY 	 07/14/2022	62	ML / AI	2 yrs 	2 yrs	0	$288,000	186K 	 51K 	 51K
	Seattle, WA 	 06/01/2022	SDE	ML / AI	0 yrs 	0 yrs	0	$165,000	112K 	 28K 	 25K
	San Francisco, CA 	 05/19/2022	SDE	ML / AI	2 yrs 	0 yrs	0	$170,000	150K 	 20K 	 N/A
	Dallas, TX 	 05/01/2022	SDE	ML / AI	0 yrs 	0 yrs	0	$161,100	103K 	 30K 	 28.1K
	San Diego, CA 	 04/01/2022	62	ML / AI	2 yrs 	0 yrs	0	$160,000	145K 	 15K 	 N/A
	San Francisco, CA 	 03/23/2022	SDE II	ML / AI	2 yrs 	1 yr	0	$304,000	145K 	 130K 	 29K
	Redmond, WA 	 02/28/2022	SDE	ML / AI	0 yrs 	0 yrs	0	$166,000	113K 	 30K 	 23K
	Seattle, WA 	 02/28/2022	SDE II	ML / AI	2 yrs 	0 yrs	0	$165,000	140K 	 20K 	 5K
	Washington, DC 	 02/25/2022	60	ML / AI	2 yrs 	1 yr	0	$180,000	125K 	 20K 	 35K
	Seattle, WA 	 02/16/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$181,000	131K 	 35K 	 15K
	Atlanta, GA 	 02/07/2022	SDE	ML / AI	2 yrs 	0 yrs	0	$136,000	101K 	 30K 	 5K
	Bellevue, WA 	 02/05/2022	SDE	ML / AI	0 yrs 	0 yrs	0	$165,000	121K 	 19K 	 25K
	Redmond, WA 	 02/04/2022	60	ML / AI	2 yrs 	2 yrs	0	$160,000	120K 	 30K 	 10K
	Atlanta, GA 	 12/23/2021	SDE	ML / AI	0 yrs 	0 yrs	0	$120,000	95K 	 N/A 	 25K
	Redmond, WA 	 12/17/2021	SDE	ML / AI	0 yrs 	0 yrs	0	$203,000	113K 	 70K 	 20K
	Bellevue, WA 	 12/13/2021	60	ML / AI	2 yrs 	2 yrs	0	$210,000	121K 	 80K 	 9K
	Cambridge, MA 	 12/06/2021	SDE II	ML / AI	2 yrs 	2 yrs	0	$184,000	131K 	 37K 	 16K
	Seattle, WA 	 11/30/2021	SDE	ML / AI	0 yrs 	0 yrs	0	$154,000	113K 	 30K 	 11K
	Sunnyvale, CA 	 11/10/2021	SDE	ML / AI	0 yrs 	0 yrs	0	$197,000	134K 	 50K 	 13K
	Bellevue, WA 	 11/09/2021	60	ML / AI	2 yrs 	2 yrs	0	$205,000	125K 	 60K 	 20K
0	0		0	0			0	0			
	0		0	0			0	0			
MIT Lincoln Labor...	Lexington, MA 	 10/14/2022	L1	ML / AI	0 yrs 	0 yrs	0	$47,840	47.8K 	 N/A 	 N/A
	Lexington, MA 	 11/30/2021	L2	ML / AI	0 yrs 	0 yrs	0	$125,000	120K 	 N/A 	 5K
Dell Technologies	Austin, TX 	 10/13/2022	Software Engineer I	ML / AI	1 yr 	1 yr	0	$80,000	75K 	 N/A 	 5K
Abnormal Security	New York, NY 	 10/12/2022	Junior	ML / AI	1 yr 	1 yr	0	$150,000	150K 	 N/A 	 N/A
Producitv	Seattle, WA 	 10/11/2022	L1	ML / AI	1 yr 	1 yr	0	$140,375	130K 	 10.4K 	 N/A
General Atomics	San Diego, CA 	 10/11/2022	2	ML / AI	2 yrs 	2 yrs	0	$126,000	126K 	 N/A 	 N/A
Cerebras Systems	Sunnyvale, CA 	 10/07/2022	L4	ML / AI	2 yrs 	1 yr	0	$190,000	190K 	 N/A 	 N/A
	Seattle, WA 	 04/23/2022	Engineer	ML / AI	1 yr 	1 yr	0	$150,000	150K 	 N/A 	 N/A
AMD	Austin, TX 	 10/05/2022	Senior Software Engineer	ML / AI	2 yrs 	1 yr	0	$155,000	120K 	 20K 	 15K
	Austin, TX 	 02/28/2022	MTS	ML / AI	2 yrs 	0 yrs	0	$165,000	135K 	 10K 	 20K
Octo Consulting	Reston, VA 	 10/05/2022	Associate	ML / AI	2 yrs 	1 yr	0	$115,000	115K 	 N/A 	 N/A
Arrowstreet Capital	Boston, MA 	 10/05/2022	New Grad	ML / AI	0 yrs 	0 yrs	0	$580,000	425K 	 N/A 	 155K
	Boston, MA 	 10/01/2022	New Grad	ML / AI	0 yrs 	0 yrs	0	$475,000	400K 	 N/A 	 75K
Googl	New York, NY 	 10/04/2022	L3	ML / AI	0 yrs 	0 yrs	0	$135,000	110K 	 5K 	 20K
Sitecore	San Francisco, CA 	 10/04/2022	MLE	ML / AI	2 yrs 	1 yr	0	$147,000	129K 	 N/A 	 18K
Intuit	New York, NY 	 10/04/2022	Staff Software Engineer	ML / AI	2 yrs 	0 yrs	0	$172,500	155K 	 17.5K 	 N/A
	Mountain View, CA 	 09/08/2022	Software Engineer 1	ML / AI	1 yr 	0 yrs	0	$141,000	125K 	 16K 	 N/A
Brookhaven Nation...	New York, NY 	 10/04/2022	-	ML / AI	2 yrs 	2 yrs	0	$108,000	108K 	 N/A 	 N/A
NLP Logix	Jacksonville, FL 	 10/03/2022	L1	ML / AI	1 yr 	1 yr	0	$55,000	55K 	 N/A 	 N/A
Verily	Mountain View, CA 	 10/01/2022	L3	ML / AI	0 yrs 	0 yrs	0	$128,960	129K 	 N/A 	 N/A
	Mountain View, CA 	 11/19/2021	L3	ML / AI	0 yrs 	0 yrs	0	$185,000	130K 	 35K 	 20K
Cruise	San Francisco, CA 	 10/01/2022	L4	ML / AI	1 yr 	1 yr	0	$415,000	225K 	 125K 	 65K
	San Francisco, CA 	 09/11/2022	L3	ML / AI	0 yrs 	0 yrs	0	$261,250	150K 	 75K 	 36.3K
	San Francisco, CA 	 08/15/2022	L4	ML / AI	1 yr 	1 yr	0	$412,000	225K 	 125K 	 62K
	San Francisco, CA 	 08/09/2022	L3	ML / AI	1 yr 	1 yr	0	$246,000	155K 	 60K 	 31K
	San Francisco, CA 	 05/06/2022	L3	ML / AI	2 yrs 	2 yrs	0	$149,000	149K 	 N/A 	 N/A
	San Francisco, CA 	 05/01/2022	L5	ML / AI	2 yrs 	0 yrs	0	$563,000	235K 	 237.5K 	 90.5K
	San Francisco, CA 	 12/02/2021	L3	ML / AI	0 yrs 	0 yrs	0	$218,000	156K 	 31K 	 31K
Two Sigma	New York, NY 	 09/30/2022	L1	ML / AI	0 yrs 	0 yrs	0	$406,250	200K 	 N/A 	 206.3K
GSK	Philadelphia, PA 	 09/16/2022	L2	ML / AI	2 yrs 	2 yrs	0	$158,000	146K 	 N/A 	 12K
Adobe	Seattle, WA 	 09/16/2022	Software Engineer 1	ML / AI	2 yrs 	0 yrs	0	$158,375	126K 	 28.1K 	 4.3K
	San Jose, CA 	 09/04/2022	Software Engineer 1	ML / AI	0 yrs 	0 yrs	0	$249,575	157.5K 	 76.3K 	 15.8K
	San Jose, CA 	 04/08/2022	Software Engineer 2	ML / AI	0 yrs 	0 yrs	0	$251,825	145K 	 76.3K 	 30.5K
	San Jose, CA 	 01/11/2022	P3	ML / AI	0 yrs 	0 yrs	0	$296,000	160K 	 104K 	 32K
	San Jose, CA 	 12/24/2021	Software Engineer 3	ML / AI	0 yrs 	0 yrs	0	$320,000	180K 	 110K 	 30K
Noblis	Reston, VA 	 09/15/2022	L1	ML / AI	0 yrs 	0 yrs	0	$106,250	100K 	 N/A 	 6.3K
	Reston, VA 	 08/31/2022	Entry Level	ML / AI	1 yr 	1 yr	0	$80,000	80K 	 N/A 	 N/A
	Reston, VA 	 04/06/2022	1	ML / AI	2 yrs 	2 yrs	0	$95,000	90K 	 N/A 	 5K
Oracle	Redwood City, CA 	 09/14/2022	IC-2	ML / AI	0 yrs 	0 yrs	0	$228,000	135K 	 53K 	 40K
	Seattle, WA 	 03/31/2022	IC-2	ML / AI	0 yrs 	0 yrs	0	$197,500	135K 	 62.5K 	 N/A
	Austin, TX 	 01/03/2022	IC-1	ML / AI	2 yrs 	2 yrs	0	$226,000	137K 	 57K 	 32K
	Austin, TX 	 11/18/2021	IC-2	ML / AI	0 yrs 	0 yrs	0	$218,000	122K 	 66K 	 30K
Citadel	Chicago, IL 	 09/13/2022	-	ML / AI	0 yrs 	0 yrs	0	$537,500	250K 	 N/A 	 287.5K
	New York, NY 	 09/11/2022	-	ML / AI	0 yrs 	0 yrs	0	$525,000	475K 	 N/A 	 50K
	Chicago, IL 	 09/01/2022	-	ML / AI	0 yrs 	0 yrs	0	$625,000	300K 	 N/A 	 325K
