Company	Location	Date	Level Name	Tag	Years of Experience	Total / At Company	Negotiated	Total Compensation (USD)	Base	Stock (yr)	Bonus
	Mountain View, CA 	 10/13/2022	L4	ML / AI	2 yrs 	1 yr	0	$301,250	185K 	 71.3K 	 45K
	San Francisco, CA 	 10/01/2022	L4	ML / AI	2 yrs 	0 yrs	0	$227,500	170K 	 27.5K 	 30K
	Seattle, WA 	 09/13/2022	L3	ML / AI	0 yrs 	0 yrs	0	$168,550	127K 	 22.5K 	 19.1K
	New York, NY 	 09/07/2022	L4	ML / AI	0 yrs 	0 yrs	0	$255,000	230K 	 25K 	 N/A
	Menlo Park, CA 	 08/31/2022	L3	ML / AI	0 yrs 	0 yrs	0	$175,000	150K 	 25K 	 N/A
	New York, NY 	 08/23/2022	L3	ML / AI	1 yr 	0 yrs	0	$250,000	190K 	 60K 	 N/A
	Los Angeles, CA 	 08/09/2022	L4	ML / AI	0 yrs 	0 yrs	0	$230,000	130K 	 100K 	 N/A
	Seattle, WA 	 08/01/2022	L4	ML / AI	2 yrs 	0 yrs	0	$310,750	175K 	 94.5K 	 41.3K
	New York, NY 	 07/24/2022	L3	ML / AI	0 yrs 	0 yrs	0	$192,500	180K 	 12.5K 	 N/A
	New York, NY 	 07/23/2022	L4	ML / AI	2 yrs 	1 yr	0	$290,000	225K 	 65K 	 N/A
	Durham, NC 	 07/18/2022	L4	ML / AI	2 yrs 	0 yrs	0	$250,500	145K 	 83.8K 	 21.8K
	New York, NY 	 07/17/2022	L3	ML / AI	1 yr 	1 yr	0	$200,000	150K 	 50K 	 N/A
	New York, NY 	 07/13/2022	L4	ML / AI	2 yrs 	1 yr	0	$260,000	200K 	 60K 	 N/A
	Bellevue, WA 	 07/12/2022	L4	ML / AI	0 yrs 	0 yrs	0	$325,500	165K 	 117.3K 	 43.3K
	Sunnyvale, CA 	 07/11/2022	L4	ML / AI	0 yrs 	0 yrs	0	$278,050	167K 	 73.5K 	 37.6K
	Los Angeles, CA 	 07/01/2022	L3	ML / AI	2 yrs 	0 yrs	0	$267,500	160K 	 70K 	 37.5K
	San Francisco, CA 	 07/01/2022	L3	ML / AI	2 yrs 	0 yrs	0	$175,000	150K 	 25K 	 N/A
	San Francisco, CA 	 07/01/2022	L3	ML / AI	2 yrs 	0 yrs	0	$213,750	150K 	 32.5K 	 31.3K
	San Francisco, CA 	 06/30/2022	L3	ML / AI	0 yrs 	0 yrs	0	$220,000	120K 	 75K 	 25K
	Mountain View, CA 	 06/27/2022	L3	ML / AI	0 yrs 	0 yrs	0	$194,150	142K 	 25K 	 27.2K
	Los Angeles, CA 	 06/18/2022	L3	ML / AI	1 yr 	0 yrs	0	$192,500	190K 	 2.5K 	 N/A
	Mountain View, CA 	 06/09/2022	L4	ML / AI	0 yrs 	0 yrs	0	$285,000	180K 	 78K 	 27K
	San Francisco, CA 	 06/05/2022	L3	ML / AI	2 yrs 	0 yrs	0	$210,850	152K 	 28.8K 	 30.1K
	Mountain View, CA 	 06/01/2022	L3	ML / AI	1 yr 	0 yrs	0	$253,400	166K 	 62.5K 	 24.9K
	Mountain View, CA 	 06/01/2022	L4	ML / AI	0 yrs 	0 yrs	0	$204,500	167K 	 37.5K 	 N/A
	Mountain View, CA 	 05/31/2022	L4	ML / AI	2 yrs 	0 yrs	+$15K	$279,200	178K 	 65.8K 	 35.5K
	Seattle, WA 	 05/31/2022	L4	ML / AI	0 yrs 	0 yrs	0	$290,700	168K 	 87.5K 	 35.2K
	San Francisco, CA 	 05/31/2022	L4	ML / AI	2 yrs 	0 yrs	0	$307,750	185K 	 85K 	 37.8K
	San Francisco, CA 	 05/19/2022	L4	ML / AI	0 yrs 	0 yrs	0	$242,300	167K 	 36.8K 	 38.6K
	Los Angeles, CA 	 05/16/2022	L3	ML / AI	1 yr 	0 yrs	+$60K	$208,075	143K 	 35.3K 	 29.8K
	Mountain View, CA 	 05/12/2022	L4	ML / AI	2 yrs 	0 yrs	0	$273,200	178K 	 65.8K 	 29.5K
	Mountain View, CA 	 05/01/2022	L4	ML / AI	2 yrs 	0 yrs	0	$306,200	188K 	 87.5K 	 30.7K
	Mountain View, CA 	 04/30/2022	L3	ML / AI	0 yrs 	0 yrs	0	$197,700	144K 	 25K 	 28.7K
	New York, NY 	 04/30/2022	L3	ML / AI	2 yrs 	2 yrs	0	$210,000	145K 	 40K 	 25K
	Irvine, CA 	 04/27/2022	L4	ML / AI	2 yrs 	0 yrs	0	$288,100	169K 	 91.3K 	 27.9K
	Mountain View, CA 	 04/13/2022	L4	ML / AI	2 yrs 	2 yrs	0	$328,000	175K 	 118K 	 35K
	Mountain View, CA 	 04/11/2022	L4	ML / AI	2 yrs 	0 yrs	0	$295,600	180K 	 72.5K 	 43.1K
	New York, NY 	 04/10/2022	L4	ML / AI	2 yrs 	0 yrs	0	$279,250	180K 	 58.8K 	 40.5K
	Mountain View, CA 	 04/09/2022	L4	ML / AI	2 yrs 	2 yrs	0	$245,000	168K 	 40K 	 37K
	Seattle, WA 	 04/05/2022	L4	ML / AI	2 yrs 	0 yrs	0	$281,250	169K 	 87.3K 	 25K
	Seattle, WA 	 04/01/2022	L5	ML / AI	2 yrs 	0 yrs	0	$365,025	191K 	 138.3K 	 35.8K
	San Francisco, CA 	 04/01/2022	L4	ML / AI	1 yr 	0 yrs	0	$292,000	180K 	 75K 	 37K
	Mountain View, CA 	 04/01/2022	L4	ML / AI	2 yrs 	0 yrs	0	$288,250	180K 	 75K 	 33.3K
	Mountain View, CA 	 04/01/2022	L4	ML / AI	2 yrs 	0 yrs	0	$311,600	184K 	 87.5K 	 40.1K
	New York, NY 	 03/31/2022	L4	ML / AI	0 yrs 	0 yrs	0	$279,500	167K 	 75K 	 37.5K
	New York, NY 	 03/24/2022	L4	ML / AI	2 yrs 	2 yrs	0	$285,895	170K 	 87.9K 	 28K
	San Francisco, CA 	 03/13/2022	L3	ML / AI	2 yrs 	0 yrs	0	$191,000	131K 	 40K 	 20K
	San Francisco, CA 	 02/28/2022	L4	ML / AI	2 yrs 	2 yrs	0	$255,000	175K 	 65K 	 15K
	Los Angeles, CA 	 02/28/2022	L4	ML / AI	2 yrs 	0 yrs	0	$274,250	165K 	 77.3K 	 32K
	Sunnyvale, CA 	 02/28/2022	L3	ML / AI	0 yrs 	0 yrs	0	$194,150	142K 	 25K 	 27.2K
	New York, NY 	 02/27/2022	L3	ML / AI	0 yrs 	0 yrs	0	$196,000	142K 	 33K 	 21K
	Sunnyvale, CA 	 02/25/2022	L3	ML / AI	0 yrs 	0 yrs	0	$192,000	142K 	 25K 	 25K
	Mountain View, CA 	 02/21/2022	L4	ML / AI	0 yrs 	0 yrs	0	$293,000	167K 	 101K 	 25K
	Sunnyvale, CA 	 02/17/2022	L3	ML / AI	2 yrs 	0 yrs	0	$196,000	146K 	 28K 	 22K
	Mountain View, CA 	 02/11/2022	L4	ML / AI	2 yrs 	2 yrs	0	$292,000	180K 	 85K 	 27K
	Mountain View, CA 	 02/10/2022	L4	ML / AI	0 yrs 	0 yrs	0	$229,000	167K 	 37K 	 25K
	Mountain View, CA 	 02/08/2022	L4	ML / AI	2 yrs 	2 yrs	0	$270,000	175K 	 69K 	 26K
	Pittsburgh, PA 	 02/05/2022	L4	ML / AI	0 yrs 	0 yrs	0	$237,000	149K 	 66K 	 22K
	Mountain View, CA 	 02/03/2022	L4	ML / AI	0 yrs 	0 yrs	0	$229,000	167K 	 37K 	 25K
	Seattle, WA 	 02/01/2022	L4	ML / AI	2 yrs 	0 yrs	0	$234,300	162K 	 37.5K 	 34.8K
	Seattle, WA 	 02/01/2022	L3	ML / AI	1 yr 	0 yrs	0	$189,925	137K 	 25.8K 	 27.2K
	New York, NY 	 01/31/2022	L4	ML / AI	0 yrs 	0 yrs	0	$259,550	167K 	 60K 	 32.6K
	Mountain View, CA 	 01/31/2022	L3	ML / AI	0 yrs 	0 yrs	0	$167,000	142K 	 25K 	 N/A
	San Francisco, CA 	 01/31/2022	L3	ML / AI	0 yrs 	0 yrs	0	$174,050	169K 	 5.1K 	 N/A
	Mountain View, CA 	 01/31/2022	L3	ML / AI	0 yrs 	0 yrs	0	$169,000	144K 	 25K 	 N/A
	Sunnyvale, CA 	 01/31/2022	L3	ML / AI	0 yrs 	0 yrs	0	$199,250	144K 	 25K 	 30.3K
	Kirkland, WA 	 01/31/2022	L4	ML / AI	2 yrs 	0 yrs	0	$296,000	170K 	 100K 	 26K
	Sunnyvale, CA 	 01/26/2022	L3	ML / AI	1 yr 	0 yrs	0	$191,000	144K 	 25K 	 22K
	New York, NY 	 01/26/2022	L3	ML / AI	1 yr 	0 yrs	0	$228,000	159K 	 45K 	 24K
	Mountain View, CA 	 01/23/2022	L4	ML / AI	2 yrs 	0 yrs	0	$330,000	188K 	 102K 	 40K
	Mountain View, CA 	 01/21/2022	L4	ML / AI	0 yrs 	0 yrs	0	$227,000	167K 	 35K 	 25K
	Mountain View, CA 	 01/20/2022	L3	ML / AI	0 yrs 	0 yrs	0	$210,000	142K 	 35K 	 33K
	San Francisco, CA 	 01/19/2022	L4	ML / AI	2 yrs 	0 yrs	0	$336,000	188K 	 120K 	 28K
	New York, NY 	 01/12/2022	L4	ML / AI	1 yr 	0 yrs	0	$229,000	167K 	 37K 	 25K
	Seattle, WA 	 01/06/2022	L4	ML / AI	0 yrs 	0 yrs	0	$300,000	180K 	 100K 	 20K
	Irvine, CA 	 01/01/2022	L3	ML / AI	0 yrs 	0 yrs	0	$213,250	129K 	 57.5K 	 26.8K
	San Francisco, CA 	 12/31/2021	L4	ML / AI	1 yr 	0 yrs	0	$315,000	179K 	 92.5K 	 43.5K
	Seattle, WA 	 12/31/2021	L4	ML / AI	2 yrs 	0 yrs	0	$278,100	169K 	 77.5K 	 31.6K
	Mountain View, CA 	 12/30/2021	L3	ML / AI	0 yrs 	0 yrs	0	$199,000	144K 	 33K 	 22K
	Mountain View, CA 	 12/29/2021	L4	ML / AI	0 yrs 	0 yrs	0	$289,000	167K 	 84K 	 38K
	Sunnyvale, CA 	 12/24/2021	L3	ML / AI	0 yrs 	0 yrs	0	$210,000	144K 	 50K 	 16K
	Mountain View, CA 	 12/23/2021	L3	ML / AI	0 yrs 	0 yrs	0	$188,000	142K 	 25K 	 21K
	San Francisco, CA 	 12/22/2021	L4	ML / AI	2 yrs 	2 yrs	0	$336,000	171K 	 130K 	 35K
	Kirkland, WA 	 12/21/2021	L3	ML / AI	0 yrs 	0 yrs	0	$184,000	129K 	 25K 	 30K
	Mountain View, CA 	 12/21/2021	L4	ML / AI	2 yrs 	2 yrs	0	$274,000	162K 	 80K 	 32K
	Mountain View, CA 	 12/20/2021	L3	ML / AI	2 yrs 	2 yrs	0	$225,000	150K 	 50K 	 25K
	Mountain View, CA 	 12/17/2021	L3	ML / AI	0 yrs 	0 yrs	0	$239,000	144K 	 73K 	 22K
	Mountain View, CA 	 12/16/2021	L4	ML / AI	2 yrs 	2 yrs	0	$279,000	169K 	 80K 	 30K
	Mountain View, CA 	 12/10/2021	L4	ML / AI	2 yrs 	0 yrs	0	$277,000	170K 	 82K 	 25K
	Mountain View, CA 	 12/06/2021	L5	ML / AI	2 yrs 	2 yrs	0	$383,000	202K 	 145K 	 36K
	Pittsburgh, PA 	 12/04/2021	L3	ML / AI	0 yrs 	0 yrs	0	$186,000	111K 	 45K 	 30K
	Sunnyvale, CA 	 11/30/2021	L3	ML / AI	0 yrs 	0 yrs	0	$194,205	172.6K 	 16.6K 	 5K
	San Francisco, CA 	 11/26/2021	L4	ML / AI	0 yrs 	0 yrs	0	$250,000	170K 	 60K 	 20K
	San Francisco, CA 	 11/24/2021	L4	ML / AI	2 yrs 	2 yrs	0	$340,000	170K 	 140K 	 30K
	Austin, TX 	 11/22/2021	L4	ML / AI	2 yrs 	0 yrs	0	$247,000	150K 	 68K 	 29K
	Sunnyvale, CA 	 11/19/2021	L4	ML / AI	2 yrs 	0 yrs	0	$300,000	170K 	 100K 	 30K
	Mountain View, CA 	 11/19/2021	L3	ML / AI	0 yrs 	0 yrs	0	$184,000	134K 	 25K 	 25K
Goldman Sachs	New York, NY 	 4 days ago	Associate	ML / AI	0 yrs 	0 yrs	0	$86,000	86K 	 N/A 	 N/A
	New York, NY 	 5 days ago	Analyst	ML / AI	1 yr 	1 yr	0	$255,000	235K 	 N/A 	 20K
	New York, NY 	 11/30/2022	Associate	ML / AI	0 yrs 	0 yrs	0	$170,000	125K 	 N/A 	 45K
	New York, NY 	 11/01/2022	Analyst	ML / AI	0 yrs 	0 yrs	0	$100,000	100K 	 N/A 	 N/A
	New York, NY 	 10/05/2022	Associate	ML / AI	1 yr 	1 yr	0	$252,000	180K 	 N/A 	 72K
	New York, NY 	 09/12/2022	Analyst	ML / AI	2 yrs 	0 yrs	0	$163,750	130K 	 N/A 	 33.8K
	New York, NY 	 08/03/2022	Analyst	ML / AI	1 yr 	1 yr	0	$130,000	130K 	 N/A 	 N/A
	New York, NY 	 07/13/2022	Associate	ML / AI	1 yr 	1 yr	+$35K	$284,000	164K 	 N/A 	 120K
	New York, NY 	 06/30/2022	Associate	ML / AI	0 yrs 	0 yrs	0	$125,000	125K 	 N/A 	 N/A
	New York, NY 	 03/02/2022	Analyst	ML / AI	0 yrs 	0 yrs	0	$250,000	200K 	 N/A 	 50K
	Dallas, TX 	 02/28/2022	Analyst	ML / AI	0 yrs 	0 yrs	0	$90,000	85K 	 N/A 	 5K
Alarm.com	Washington, DC 	 6 days ago	Associate Research Scientist	ML / AI	0 yrs 	0 yrs	+$25K	$125,000	125K 	 N/A 	 N/A
JPMorgan Chase	Columbus, OH 	 6 days ago	Analyst	ML / AI	1 yr 	1 yr	0	$85,000	85K 	 N/A 	 N/A
	New York, NY 	 10/07/2022	Associate	ML / AI	0 yrs 	0 yrs	0	$125,000	115K 	 N/A 	 10K
	Jersey City, NJ 	 08/15/2022	Analyst	ML / AI	1 yr 	0 yrs	0	$120,000	110K 	 N/A 	 10K
	Jersey City, NJ 	 04/17/2022	Associate	ML / AI	2 yrs 	2 yrs	0	$128,000	128K 	 N/A 	 N/A
	Jersey City, NJ 	 03/31/2022	Analyst	ML / AI	2 yrs 	0 yrs	0	$132,000	120K 	 N/A 	 12K
	Jersey City, NJ 	 01/26/2022	Analyst	ML / AI	1 yr 	1 yr	0	$125,000	115K 	 N/A 	 10K
	Seattle, WA 	 01/20/2022	Associate	ML / AI	2 yrs 	2 yrs	0	$160,000	125K 	 N/A 	 35K
	Palo Alto, CA 	 01/20/2022	Analyst	ML / AI	0 yrs 	0 yrs	0	$145,000	130K 	 N/A 	 15K
	Jersey City, NJ 	 12/17/2021	Associate	ML / AI	0 yrs 	0 yrs	0	$125,000	110K 	 N/A 	 15K
	Houston, TX 	 11/08/2021	Associate	ML / AI	1 yr 	0 yrs	0	$100,000	90K 	 3K 	 7K
Amazon	New York, NY 	 7 days ago	SDE II	ML / AI	2 yrs 	2 yrs	0	$263,000	167K 	 96K 	 N/A
	Seattle, WA 	 12/20/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$175,000	125K 	 30K 	 20K
